"","Totale stemmen","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"Beemster",6183,0.368267831149927,0.116933527413877,0.105450428594533,0.122755943716642,0.0498140061458839,0.0729419375707585,0.0648552482613618,0.00711628659226912,0.0257156720038816,0.0367135694646612,0.00307294193757076,0.0244218017143781,0.00194080543425522
"Beesel",8141,0.19235966097531,0.15501781107972,0.216066822257708,0.098759366171232,0.125168898169758,0.0605576710477828,0.0400442206117185,0.00491340130205135,0.0546615894853212,0.0226016459894362,0.00159685542316669,0.017319739589731,0.0109323178970642
"Bellingwedde",5725,0.143406113537118,0.096943231441048,0.196157205240175,0.0702183406113537,0.186724890829694,0.0717903930131004,0.0962445414847162,0.028471615720524,0.0389519650655022,0.0473362445414847,0.00279475982532751,0.0207860262008734,0.000174672489082969
"Berg en Dal",23323,0.202246709256957,0.129014277751576,0.152939158770313,0.112764224156412,0.149509068301676,0.102816961797367,0.0583544140976718,0.00771770355443125,0.0319855936200317,0.036187454444111,0.00162929297260215,0.013248724435107,0.0015864168417442
"Bergeijk",10627,0.287663498635551,0.247576926696151,0.148207396254823,0,0.130422508704244,0.0541074621247765,0.0369812741131081,0.00875129387409429,0.0397101722028795,0.0237131834007716,0.00310529782629152,0.0191963865625294,0.000564599604780277
"Bergen (L)",8288,0.19280888030888,0.185448841698842,0.191722972972973,0.0710666023166023,0.204995173745174,0.0448841698841699,0.0294401544401544,0.00458494208494209,0.0383687258687259,0.0199083011583012,0.00132722007722008,0.0144787644787645,0.000965250965250965
"Bergen (NH)",20494,0.302625158583,0.102029862398751,0.109105103932858,0.129501317458768,0.0591392602712989,0.106372596857617,0.0671416024202205,0.0108324387625647,0.0307407045964673,0.0587001073484922,0.00170781692202596,0.0213721089099249,0.000731921538011125
"Bergen op Zoom",39306,0.243143540426398,0.107184653742431,0.17498600722536,0.104640512898794,0.107947895995522,0.0806492647432962,0.0427670075815397,0.0106090673179667,0.041418612934412,0.025161552943571,0.00160280873149138,0.0155192591461863,0.0443698163130311
"Berkelland",29335,0.228464291801602,0.207908641554457,0.102096471791375,0.116175217317198,0.130697119481848,0.0672575421851031,0.0687574569626726,0.0142832793591273,0.0266575762740753,0.0196011590250554,0.00272711777739901,0.0130219873870803,0.00235213908300665
"Bernheze",18807,0.257085127877918,0.20444515340033,0.118945073642793,0.110437603020152,0.154251076726751,0.0525336310948051,0.0340830541819535,0.00574254267028234,0.0295102887222843,0.0146222151326634,0.00111660551922157,0.0149412452810124,0.00228638272983464
"Best",18228,0.267610269914417,0.135889839806891,0.129251700680272,0.123875356594251,0.120364274742155,0.0663813912661839,0.0382378757954795,0.022108843537415,0.043888523151196,0.0226025894228659,0.0021395655036208,0.0153061224489796,0.0123436471362739
"Beuningen",16435,0.255613020991786,0.128202007909948,0.149741405536964,0.122299969577122,0.127411013081838,0.0786735625190143,0.049528445390934,0.00888348037724369,0.0382111347733496,0.0209917858229389,0.00139945238819592,0.0160024338302403,0.00304228780042592
"Beverwijk",22893,0.226575809199319,0.0801118245751977,0.164810203992487,0.115057004324466,0.101472065696938,0.0974970515004587,0.0604114794915476,0.0121871314375573,0.0437688376359586,0.0369545275848513,0.00170357751277683,0.0246800331979208,0.034770453850522
"het Bildt",6313,0.172976397909077,0.219546966576905,0.115792808490417,0.0787264375099002,0.130207508316173,0.0723903057183589,0.0799936638682085,0.0362743545065737,0.0334230952003802,0.0343735149691114,0.00459369554886742,0.0217012513860288,0
"De Bilt",28353,0.268754629139774,0.103093147109653,0.0838711952879766,0.162346136211336,0.0581949000105809,0.114520509293549,0.0600641907381935,0.035234366733679,0.0206680069128487,0.0396430712799351,0.0314957852784538,0.0138609670934293,0.00825309491059147
"Binnenmaas",19282,0.251374338761539,0.140338139197179,0.152629395290945,0.086349963696712,0.066279431594233,0.0481796494139612,0.0594855305466238,0.0467275178923348,0.0339176433979878,0.0294056633129343,0.0606264910279017,0.0240120319468935,0.000674203920755108
