"Muni","GL","Urban_index","High_edu_perc","Mean_income","Non_west"
"Heusden",0.0599685913589715,1.56548713235294,0.31,26.3,2
"Hillegom",0.0739120597330115,2.33129985922102,0.24,26.2,2
"Hilvarenbeek",0.0662858268492071,0.675392670157068,0.29,27.5,1
"Hilversum",0.115863779452447,3.28904140414041,0.39,27.4,3
"Hof van Twente",0.0509705644990018,0.779777206512425,0.28,26,1
"Hollands Kroon",0.0633633124045478,0.430581810544003,0.19,25,1
"Hoogeveen",0.0534513274336283,1.55921171578376,0.19,22.5,2
"Hoogezand-Sappemeer",0.0903232252585302,1.91089687408706,0.2,21.8,3
"Hoorn",0.10908196951605,2.46254655814595,0.25,24.8,3
"Horst aan de Maas",0.0551945569910557,0.730897009966777,0.24,25.7,1
"Houten",0.100224215246637,2.20608519269777,0.41,29.7,2
"Huizen",0.0739034348428662,2.84098598356694,0.33,28.3,3
"Hulst",0.0574405731032237,0.477372262773723,0.21,25.3,1
"IJsselstein",0.0773611770289511,2.70242619117217,0.3,27.8,3
"Kaag en Braassem",0.0624141090242785,0.77550246492226,0.23,28,1
"Kampen",0.0580275435806655,1.9083984003047,0.23,23.3,2
"Kapelle",0.047890397672163,0.874109263657957,0.26,26.4,1
"Katwijk",0.0379005853755333,3.02479082739386,0.2,25.6,2
"Kerkrade",0.0539245056920312,2.55693446549096,0.2,21.4,2
"Koggenland",0.0641803391699986,0.482682060390764,0.26,26.3,1
"Kollumerland en Nieuwkruisland",0.0523580121703854,0.360248447204969,0.16,22.2,1
"Korendijk",0.0450103234686855,0.0465328467153285,0.24,27.4,1
"Krimpen aan den IJssel",0.0530581773582893,2.84002746309646,0.24,26.8,2
"Krimpenerwaard",0.0555830992122514,1.07373188405797,0.25,27.1,2
"Laarbeek",0.0513285900972847,0.743391066545123,0.25,25.6,1
"Landerd",0.0477234233336654,0.545632333767927,0.28,25.8,1
"Landgraaf",0.0582097987219058,2.3954606141522,0.25,23.3,1
"Landsmeer",0.0990745781164943,1.49778172138421,0.36,30.1,2
"Langedijk",0.0877370701784006,1.33393697935531,0.3,26.7,2
"Lansingerland",0.0556486033821384,2.04941763727121,0.36,30.4,3
"Leek",0.0880452342487884,0.940458015267176,0.26,24,1
"Leerdam",0.0538497874350496,1.8675274988044,0.25,24.5,3
"Leeuwarden",0.130825437371907,2.65178982239809,0.3,22.6,3
"Leeuwarderadeel",0.077003121748179,0.67457962413452,0.25,24.1,1
"Leiden",0.172112521548347,3.73849761461955,0.45,26,3
"Leiderdorp",0.0902912621359223,3.2108367121268,0.32,28.3,3
"Leidschendam-Voorburg",0.0818664859073317,3.43659517426273,0.39,28.3,3
"Lelystad",0.0894523517767933,2.06809616634178,0.23,23.5,3
"Leudal",0.0430155408113283,0.27536231884058,0.24,25.9,1
"Leusden",0.0888598825242231,1.81030997304582,0.34,29.4,2
"Lingewaal",0.047053953360011,0.134529147982063,0.24,27.1,1
"Lingewaard",0.0749457519612752,1.34148982243395,0.27,25.6,1
"Lisse",0.0601493731661776,2.29973591549296,0.22,26.6,2
"Littenseradiel",0.0906894100923952,0,0.25,25.1,1
"Lochem",0.0943025540275049,0.789505068574836,0.35,27.9,1
"Loon op Zand",0.0651207997778395,1.53549783549784,0.22,25.8,1
"Lopik",0.0373019366197183,0.37649542575651,0.17,27.2,1
"Loppersum",0.111367837338262,0,0.24,23.6,1
"Losser",0.0468377506661057,0.912366548042705,0.24,24,1
"Maasdriel",0.0437115560790472,0.464962901896125,0.25,26.2,1
"Maasgouw",0.0528556944913822,0.313288477712363,0.26,25.9,1
"Maassluis",0.0589003263871454,2.89248305606901,0.23,25.1,3
"Maastricht",0.110134245074967,3.02981427174976,0.37,23.5,3
"Marum",0.065486185315219,0.348411934552454,0.21,24.2,1
"Medemblik",0.0628845091177012,0.609850204266909,0.25,25.2,1
"Meerssen",0.0721428571428571,0.62349239643419,0.31,27.1,1
"Menameradiel",0.0870561282932417,0,0.2,24,1
"Menterwolde",0.0733210912906611,0.328947368421053,0.21,22.8,1
"Meppel",0.0908919479539883,1.74568574023615,0.31,23.9,2
"Midden-Delfland",0.0654678499143702,1.85128744088282,0.32,30.4,2
"Midden-Drenthe",0.0716888322098743,0.361485474693022,0.26,24.7,1
"Mill en Sint Hubert",0.0451773835920177,0.235892691951896,0.21,25.3,1
"Moerdijk",0.0552566590227553,1.07117726657645,0.26,26.1,1
"Molenwaard",0.0294524925436728,0.422458062307429,0.21,27.2,1
"Montferland",0.0539538535351332,0.999716874292186,0.2,24,1
"Montfoort",0.0578566732412886,0.865800865800866,0.29,28.7,2
