"Muni","CDA","GL","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"het Bildt",0.219546966576905,0.0723903057183589,0.168571428571429,0.19,21.9,0.04,"1"
"Heumen",0.150122160890417,0.104334449371098,1.02912621359223,0.33,28.6,0.04,"1"
"Heusden",0.146451919214054,0.0599685913589715,1.56548713235294,0.31,26.3,0.06,"2"
"Hillegom",0.123764989818237,0.0739120597330115,2.33129985922102,0.24,26.2,0.06,"2"
"Hilvarenbeek",0.206145966709347,0.0662858268492071,0.675392670157068,0.29,27.5,0.02,"1"
"Hilversum",0.0828961175236096,0.115863779452447,3.28904140414041,0.39,27.4,0.13,"3"
"Hof van Twente",0.24852397740305,0.0509705644990018,0.779777206512425,0.28,26,0.03,"1"
"Hollands Kroon",0.131919226200577,0.0633633124045478,0.430581810544003,0.19,25,0.03,"1"
"Hoogeveen",0.205250737463127,0.0534513274336283,1.55921171578376,0.19,22.5,0.05,"2"
"Hoogezand-Sappemeer",0.0893240745366439,0.0903232252585302,1.91089687408706,0.2,21.8,0.12,"3"
"Hoorn",0.0896022102034605,0.10908196951605,2.46254655814595,0.25,24.8,0.14,"3"
"Horst aan de Maas",0.224982799480162,0.0551945569910557,0.730897009966777,0.24,25.7,0.03,"1"
"Houten",0.122037155669443,0.100224215246637,2.20608519269777,0.41,29.7,0.08,"2"
"Huizen",0.130464097089561,0.0739034348428662,2.84098598356694,0.33,28.3,0.1,"3"
"Hulst",0.155063497232172,0.0574405731032237,0.477372262773723,0.21,25.3,0.03,"1"
"IJsselstein",0.125011865211201,0.0773611770289511,2.70242619117217,0.3,27.8,0.13,"3"
"Kaag en Braassem",0.155863490609253,0.0624141090242785,0.77550246492226,0.23,28,0.04,"1"
"Kampen",0.195175372798464,0.0580275435806655,1.9083984003047,0.23,23.3,0.05,"2"
"Kapelle",0.156886517943744,0.047890397672163,0.874109263657957,0.26,26.4,0.03,"1"
"Katwijk",0.204955848794523,0.0379005853755333,3.02479082739386,0.2,25.6,0.05,"2"
"Kerkrade",0.110844817255842,0.0539245056920312,2.55693446549096,0.2,21.4,0.06,"2"
"Koggenland",0.153936302219771,0.0641803391699986,0.482682060390764,0.26,26.3,0.03,"1"
"Kollumerland en Nieuwkruisland",0.285370182555781,0.0523580121703854,0.360248447204969,0.16,22.2,0.02,"1"
"Korendijk",0.126909841706813,0.0450103234686855,0.0465328467153285,0.24,27.4,0.02,"1"
"Krimpen aan den IJssel",0.107129525942516,0.0530581773582893,2.84002746309646,0.24,26.8,0.08,"2"
"Krimpenerwaard",0.133035861841018,0.0555830992122514,1.07373188405797,0.25,27.1,0.05,"2"
"Laarbeek",0.174241324234064,0.0513285900972847,0.743391066545123,0.25,25.6,0.02,"1"
"Landerd",0.190893693334662,0.0477234233336654,0.545632333767927,0.28,25.8,0.03,"1"
"Landgraaf",0.118680172151458,0.0582097987219058,2.3954606141522,0.25,23.3,0.04,"1"
"Landsmeer",0.0743059335873707,0.0990745781164943,1.49778172138421,0.36,30.1,0.08,"2"
"Langedijk",0.120490742304013,0.0877370701784006,1.33393697935531,0.3,26.7,0.05,"2"
"Lansingerland",0.1357988005835,0.0556486033821384,2.04941763727121,0.36,30.4,0.1,"3"
"Leek",0.159046849757674,0.0880452342487884,0.940458015267176,0.26,24,0.03,"1"
"Leerdam",0.131160447173673,0.0538497874350496,1.8675274988044,0.25,24.5,0.14,"3"
"Leeuwarden",0.108325660141979,0.130825437371907,2.65178982239809,0.3,22.6,0.1,"3"
"Leeuwarderadeel",0.195778207224617,0.077003121748179,0.67457962413452,0.25,24.1,0.04,"1"
"Leiden",0.062921172230058,0.172112521548347,3.73849761461955,0.45,26,0.16,"3"
"Leiderdorp",0.114277555682467,0.0902912621359223,3.2108367121268,0.32,28.3,0.11,"3"
"Leidschendam-Voorburg",0.117005225985612,0.0818664859073317,3.43659517426273,0.39,28.3,0.16,"3"
"Lelystad",0.0901357338109153,0.0894523517767933,2.06809616634178,0.23,23.5,0.2,"3"
"Leudal",0.180122010954268,0.0430155408113283,0.27536231884058,0.24,25.9,0.03,"1"
"Leusden",0.149003464029319,0.0888598825242231,1.81030997304582,0.34,29.4,0.05,"2"
"Lingewaal",0.171243273078515,0.047053953360011,0.134529147982063,0.24,27.1,0.04,"1"
"Lingewaard",0.142246703388416,0.0749457519612752,1.34148982243395,0.27,25.6,0.03,"1"
"Lisse",0.144505201387037,0.0601493731661776,2.29973591549296,0.22,26.6,0.05,"2"
"Littenseradiel",0.255152807391613,0.0906894100923952,0,0.25,25.1,0.02,"1"
"Lochem",0.15939751146038,0.0943025540275049,0.789505068574836,0.35,27.9,0.04,"1"
"Loon op Zand",0.145376284365454,0.0651207997778395,1.53549783549784,0.22,25.8,0.04,"1"
"Lopik",0.193772007042254,0.0373019366197183,0.37649542575651,0.17,27.2,0.04,"1"
"Loppersum",0.200708564386938,0.111367837338262,0,0.24,23.6,0.02,"1"
"Losser",0.259150189314262,0.0468377506661057,0.912366548042705,0.24,24,0.03,"1"
"Maasdriel",0.186624787331501,0.0437115560790472,0.464962901896125,0.25,26.2,0.03,"1"
"Maasgouw",0.166407570125042,0.0528556944913822,0.313288477712363,0.26,25.9,0.03,"1"
"Maassluis",0.133969369821742,0.0589003263871454,2.89248305606901,0.23,25.1,0.19,"3"
"Maastricht",0.10610837292601,0.110134245074967,3.02981427174976,0.37,23.5,0.11,"3"
"Marum",0.181499007785071,0.065486185315219,0.348411934552454,0.21,24.2,0.02,"1"
"Medemblik",0.146730521274636,0.0628845091177012,0.609850204266909,0.25,25.2,0.04,"1"
"Meerssen",0.16531746031746,0.0721428571428571,0.62349239643419,0.31,27.1,0.03,"1"
"Menameradiel",0.198969072164948,0.0870561282932417,0,0.2,24,0.02,"1"
"Menterwolde",0.0945697796432319,0.0733210912906611,0.328947368421053,0.21,22.8,0.03,"1"
"Meppel",0.136385065057515,0.0908919479539883,1.74568574023615,0.31,23.9,0.06,"2"
"Midden-Delfland",0.189241787326794,0.0654678499143702,1.85128744088282,0.32,30.4,0.05,"2"
