"Gemeente","Dutch_perc","West_perc","Non_west_perc"
"Son en Breugel",0.88,0.08,0.04
"Stadskanaal",0.92,0.05,0.03
"Staphorst",0.96,0.02,0.02
"Stede Broec",0.88,0.08,0.05
"Steenbergen",0.86,0.1,0.03
"Steenwijkerland",0.92,0.04,0.04
"Stein (L.)",0.86,0.11,0.03
"Stichtse Vecht",0.82,0.09,0.09
"Strijen",0.92,0.05,0.03
"Súdwest-Fryslân",0.91,0.05,0.04
"Ten Boer",0.93,0.04,0.03
"Terneuzen",0.74,0.18,0.07
"Terschelling",0.93,0.05,0.02
"Texel",0.9,0.07,0.03
"Teylingen",0.85,0.09,0.06
"Tholen",0.91,0.05,0.03
"Tiel",0.75,0.09,0.16
"Tilburg",0.74,0.11,0.16
"Tubbergen",0.95,0.03,0.01
"Twenterand",0.95,0.03,0.02
"Tynaarlo",0.92,0.05,0.03
"Tytsjerksteradiel",0.94,0.03,0.03
"Uden",0.84,0.09,0.08
"Uitgeest",0.88,0.07,0.05
"Uithoorn",0.76,0.12,0.12
"Urk",0.97,0.01,0.02
"Utrecht (gemeente)",0.66,0.11,0.22
"Utrechtse Heuvelrug",0.85,0.08,0.07
"Vaals",0.5,0.45,0.05
"Valkenburg aan de Geul",0.86,0.11,0.03
"Valkenswaard",0.86,0.09,0.04
"Veendam",0.88,0.05,0.07
"Veenendaal",0.82,0.06,0.12
"Veere",0.91,0.06,0.02
"Veldhoven",0.84,0.1,0.06
"Velsen",0.82,0.09,0.09
"Venlo",0.73,0.16,0.12
"Venray",0.8,0.11,0.09
"Vianen",0.84,0.06,0.1
"Vlaardingen",0.71,0.09,0.2
"Vlagtwedde",0.91,0.05,0.04
"Vlieland",0.89,0.09,0.02
"Vlissingen",0.75,0.14,0.11
"Voerendaal",0.86,0.11,0.03
"Voorschoten",0.79,0.13,0.09
"Voorst",0.92,0.05,0.03
"Vught",0.87,0.09,0.04
"Waalre",0.85,0.1,0.05
"Waalwijk",0.83,0.09,0.08
"Waddinxveen",0.84,0.07,0.08
"Wageningen",0.74,0.14,0.12
"Wassenaar",0.67,0.22,0.11
"Waterland",0.88,0.07,0.05
"Weert",0.79,0.11,0.1
"Weesp",0.74,0.11,0.15
"Werkendam",0.94,0.04,0.03
"West Maas en Waal",0.93,0.05,0.02
"Westerveld",0.94,0.04,0.02
"Westervoort",0.83,0.09,0.08
