"Muni","GL_frac","Urban_index","High_educated_frac","Mean_income","GL_abs","Total_abs"
"Lisse",0.06,2.3,0.22,26.6,902,14996
"Littenseradiel",0.091,0,0.25,25.1,638,7035
"Lochem",0.094,0.79,0.35,27.9,2160,22905
"Loon op Zand",0.065,1.535,0.22,25.8,938,14404
"Lopik",0.037,0.376,0.17,27.2,339,9088
"Loppersum",0.111,0,0.24,23.6,723,6492
"Losser",0.047,0.912,0.24,24,668,14262
"Maasdriel",0.044,0.465,0.25,26.2,668,15282
"Maasgouw",0.053,0.313,0.26,25.9,782,14795
"Maassluis",0.059,2.892,0.23,25.1,1173,19915
"Maastricht",0.11,3.03,0.37,23.5,7441,67563
"Marum",0.065,0.348,0.21,24.2,429,6551
"Medemblik",0.063,0.61,0.25,25.2,1707,27145
"Meerssen",0.072,0.623,0.31,27.1,909,12600
"Meierijstad",0.061,1.412,0.22,NA,2962,48952
"Menameradiel",0.087,0,0.2,24,760,8730
"Menterwolde",0.073,0.329,0.21,22.8,559,7624
"Meppel",0.091,1.746,0.31,23.9,1928,21212
"Midden-Delfland",0.065,1.851,0.32,30.4,841,12846
"Midden-Drenthe",0.072,0.361,0.26,24.7,1574,21956
"Mill en Sint Hubert",0.045,0.236,0.21,25.3,326,7216
"Moerdijk",0.055,1.071,0.26,26.1,1253,22676
"Molenwaard",0.029,0.422,0.21,27.2,553,18776
"Montferland",0.054,1,0.2,24,1237,22927
"Montfoort",0.058,0.866,0.29,28.7,528,9126
"Mook en Middelaar",0.108,0.438,0.31,29.5,580,5359
"Neder-Betuwe",0.028,0.517,0.19,24.6,404,14387
"Nederweert",0.047,0.755,0.27,25.1,501,10687
"Neerijnen",0.042,0,0.28,28,326,7710
"Nieuwegein",0.086,2.896,0.27,25.6,3201,37169
"Nieuwkoop",0.057,0.514,0.26,28.2,1019,17893
"Nijkerk",0.048,1.733,0.22,26.3,1269,26400
"Nijmegen",0.204,3.016,0.43,23.8,22391,109811
"Nissewaard",0.061,2.74,0.2,25.2,3093,51003
"Noord-Beveland",0.054,0,0.25,24.6,253,4693
"Noordenveld",0.1,0.84,0.3,25.5,2082,20777
"Noordoostpolder",0.049,0.967,0.2,24.2,1346,27750
"Noordwijk",0.072,2.438,0.29,28.7,1174,16412
"Noordwijkerhout",0.065,1.802,0.24,26.3,669,10310
"Nuenen, Gerwen en Nederwetten",0.08,1.596,0.4,30,1240,15502
"Nunspeet",0.029,1.137,0.19,25.2,509,17628
"Nuth",0.064,0.474,0.3,25.9,646,10114
"Oegstgeest",0.103,2.634,0.45,34,1547,15023
"Oirschot",0.051,0.71,0.26,27.6,617,12093
"Oisterwijk",0.078,1.464,0.33,28.4,1293,16603
"Oldambt",0.072,1.039,0.16,21.6,1715,23674
"Oldebroek",0.027,0.897,0.18,24.1,392,14653
"Oldenzaal",0.066,2.177,0.27,24.7,1350,20516
"Olst-Wijhe",0.08,0.503,0.26,25.3,937,11699
"Ommen",0.042,0.654,0.22,25.2,488,11558
"Onderbanken",0.064,0.567,0.2,23.8,319,5016
"Oost Gelre",0.058,1.05,0.23,25,1119,19403
"Oosterhout",0.073,2.225,0.27,25.9,2428,33205
"Ooststellingwerf",0.08,0.483,0.2,22.9,1300,16173
"Oostzaan",0.079,1.545,0.28,28.2,495,6294
"Opmeer",0.067,0.619,0.25,25.9,482,7194
"Opsterland",0.086,0.36,0.2,24.2,1610,18805
"Oss",0.063,1.909,0.26,25,3447,54943
"Oud-Beijerland",0.057,2.169,0.26,27.3,897,15661
"Oude IJsselstreek",0.061,0.857,0.24,23.5,1538,25134
"Ouder-Amstel",0.106,1.826,0.36,31.5,878,8319
"Oudewater",0.054,1.218,0.27,28.3,357,6617
"Overbetuwe",0.074,1.137,0.3,26.1,2222,29878
"Papendrecht",0.064,2.738,0.28,26.4,1296,20317
"Peel en Maas",0.048,0.735,0.2,24.9,1291,26780
"Pekela",0.057,0.485,0.16,20.8,417,7291
"Pijnacker-Nootdorp",0.072,2.409,0.37,29.3,2288,31949
"Purmerend",0.088,3.186,0.23,24.8,4177,47581
"Putten",0.029,1.34,0.29,25.9,471,15979
"Raalte",0.059,0.83,0.24,25.1,1444,24339
"Reimerswaal",0.024,0.636,0.17,24.5,312,13106
"Renkum",0.117,1.295,0.4,28.4,2439,20816
"Renswoude",0.019,0.595,0.28,27,62,3230
"Reusel-De Mierden",0.045,0.708,0.31,25.9,359,7954
"Rheden",0.102,2.169,0.3,25.2,2868,28148
"Rhenen",0.061,1.088,0.28,26.3,760,12455
"Ridderkerk",0.055,2.548,0.24,25.3,1588,28762
"Rijnwaarden",0.055,0.352,0.14,23,373,6730
"Rijssen-Holten",0.028,1.718,0.2,24.7,688,24776
"Roerdalen",0.053,0.276,0.24,25.2,682,12794
"Roermond",0.08,2.099,0.29,23.6,2595,32456
"Roosendaal",0.091,2.445,0.24,24.7,4098,45131
"Rotterdam",0.119,3.546,0.31,22.9,37591,315550
"Rozendaal",0.077,1.253,NA,41.6,85,1102
"Rucphen",0.033,0.909,0.21,24.7,456,13741
"Schagen",0.082,0.989,0.26,25.6,2433,29618
"Scherpenzeel",0.025,1.319,0.28,25.6,158,6212
"Schiedam",0.084,3.636,0.19,23.1,3444,41235
"Schiermonnikoog",0.151,0,NA,23.9,149,990
"Schinnen",0.068,0.494,0.34,26,591,8644
"Schouwen-Duiveland",0.052,0.553,0.22,26.2,1178,22671
