Muni,VVD,CDA,PVV,D66,SP,GL,PvdA,CU,X50PLUS,PvdD,SGP,FvD,DENK,Urban_index,High_edu_perc,Mean_income,Dutch_perc,West_perc,Non_west_perc,Non_west,Perc_60plus
Bladel,0.262182077,0.192060851,0.131606053,0.094208066,0.141114016,0.053640757,0.035496395,0.005942477,0.043895095,0.020679819,0.001743127,0.017193566,0.000237699,1.041375872,0.21,26,0.9,0.07,0.03,1,0.127747595
Blaricum,0.399912204,0.111647644,0.089113257,0.134182031,0.044044483,0.051214516,0.049165935,0.01770559,0.027363184,0.031314018,0.005121452,0.032338308,0.006877378,1.490677134,0.34,39,0.81,0.11,0.07,2,0.16625821
Bloemendaal,0.400929615,0.100332005,0.055909695,0.182071713,0.030677291,0.084196547,0.053054449,0.014209827,0.015737052,0.042363878,0.00252324,0.016932271,0.001062417,1.49890495,0.4,41.8,0.82,0.13,0.05,2,0.140059581
Bodegraven-Reeuwijk,0.273052574,0.161299202,0.117166713,0.09432058,0.040278925,0.05702358,0.03610423,0.068263143,0.024084778,0.017708047,0.081291862,0.018075053,0.011331315,1.669433739,0.3,29.4,0.88,0.06,0.06,2,0.123825334
Boekel,0.248354748,0.244907552,0.135067377,0.088060169,0.151833281,0.040112817,0.028047634,0.004073958,0.026637418,0.017392667,0.001253526,0.013945472,0.000313381,0.62728146,0.21,25.4,0.92,0.06,0.02,1,0.120894949
Borger-Odoorn,0.196090154,0.131344533,0.15065463,0.091110181,0.145513242,0.064984755,0.089077539,0.038978896,0.036587553,0.028038501,0.007413164,0.020206851,0,0.189274448,0.24,23.9,0.94,0.04,0.02,1,0.156261092
Borne,0.230055159,0.240548904,0.110251581,0.123705099,0.101304991,0.064038746,0.052132383,0.015673349,0.023341854,0.016682362,0.00221983,0.01648056,0.003565182,1.784993418,0.31,26,0.89,0.07,0.05,2,0.130730423
Borsele,0.192071468,0.171621999,0.115159129,0.07160804,0.078796762,0.046412619,0.044318816,0.03538526,0.034268565,0.025055835,0.167434394,0.01758794,0.000279174,0.311150286,0.27,25.7,0.91,0.06,0.03,1,0.129099083
Boxtel,0.231753606,0.136156599,0.125040668,0.134855222,0.145103568,0.086107797,0.05042837,0.008675849,0.030853487,0.025105737,0.000976033,0.014423598,0.010519466,1.858727569,0.25,25.6,0.85,0.07,0.08,2,0.137400098
Breda,0.276558457,0.096324299,0.117070082,0.151652506,0.096324299,0.106132898,0.048859487,0.01011139,0.025425284,0.034123649,0.001449727,0.016405777,0.019562146,2.774108612,0.36,26.4,0.77,0.11,0.12,3,0.111209847
Brielle,0.290601435,0.1105389,0.180614309,0.09830789,0.087640243,0.055545338,0.0556373,0.013886334,0.038532279,0.030255656,0.004598124,0.032370793,0.0014714,1.243467933,0.3,28.3,0.87,0.09,0.05,2,0.143289966
Bronckhorst,0.260291454,0.21517372,0.092746583,0.117322575,0.093528734,0.061172402,0.060390252,0.021076898,0.030215709,0.024370163,0.009262309,0.013420056,0.001029145,0.40071409,0.21,25.9,0.94,0.04,0.02,1,0.154847569
Brummen,0.234204554,0.125338605,0.122190497,0.122336921,0.110256973,0.084339996,0.078556263,0.018010103,0.035654147,0.029723992,0.004173073,0.015667326,0.019547551,1.157314149,0.29,25.9,0.88,0.06,0.06,2,0.14297366
Brunssum,0.130070418,0.113658849,0.268346622,0.073444684,0.187627306,0.055229005,0.043007624,0.012977943,0.055578188,0.033579701,0.002618867,0.018739452,0.005121341,2.602044413,0.21,22.1,0.76,0.19,0.05,2,0.144509486
Bunnik,0.246530853,0.147032772,0.078535577,0.167306367,0.045467966,0.134041925,0.067414625,0.032280287,0.020273595,0.030508808,0.015844897,0.013384509,0.001377817,0.76055409,0.42,30.9,0.87,0.08,0.05,2,0.125164951
Bunschoten,0.152957937,0.25058109,0.133088401,0.025642948,0.023243608,0.01934468,0.012671515,0.257029317,0.01814501,0.007347979,0.076104071,0.016720402,0.007123041,1.861560419,0.24,26.1,0.9,0.05,0.05,2,0.104567079
Buren,0.283278263,0.122551333,0.178192117,0.092459287,0.064668397,0.04602313,0.053870663,0.027436866,0.033573283,0.023955629,0.052277555,0.021005428,0.000708048,0.066793169,0.28,27.4,0.92,0.06,0.02,1,0.140959466
Capelle aan den IJssel,0.207092947,0.0905735,0.169782465,0.106526038,0.085009888,0.076704021,0.058088332,0.041766645,0.040500989,0.034884641,0.053157548,0.022676335,0.013236651,3.19978922,0.28,25.5,0.66,0.11,0.23,3,0.134023878
Castricum,0.293104875,0.116505256,0.082650443,0.149656485,0.070979224,0.111166294,0.071682808,0.012292029,0.02822614,0.040849267,0.001862429,0.019865905,0.001158844,1.869639307,0.35,29.5,0.89,0.07,0.04,1,0.138630168
Coevorden,0.225504006,0.168984946,0.142133991,0.092437715,0.11647152,0.05867594,0.087463685,0.025618452,0.036975086,0.020468351,0.007659125,0.016770843,0.000836341,0.532011331,0.21,24,0.91,0.05,0.03,1,0.145723516
Cranendonck,0.2483372,0.180123743,0.177880897,0.092266048,0.125986079,0.042382057,0.032869296,0.006883217,0.046171694,0.025986079,0.001392111,0.018716164,0.001005414,0.719052224,0.24,25.8,0.84,0.12,0.04,1,0.146836912
Cromstrijen,0.261024755,0.135405872,0.155440415,0.086931491,0.071272309,0.049165227,0.05388601,0.035578584,0.037305699,0.025561313,0.067127231,0.021070812,0.000230282,0.944487881,0.3,28.3,0.93,0.04,0.03,1,0.149019301
Cuijk,0.210286375,0.140105304,0.127134969,0.112944651,0.196417105,0.071529472,0.040516245,0.006228329,0.028252215,0.023885964,0.000513677,0.011686144,0.030499551,1.090688259,0.22,24.5,0.81,0.1,0.1,3,0.133300939
Culemborg,0.210438868,0.096367595,0.132691647,0.131717658,0.072705397,0.126102899,0.065830182,0.028875902,0.027959207,0.037641801,0.010026355,0.015526527,0.044115962,2.269465375,0.31,25.8,0.77,0.09,0.14,3,0.122451909
Dalfsen,0.1948017,0.320615616,0.078674057,0.084701071,0.067696282,0.0430501,0.042888662,0.088952268,0.02480762,0.016466663,0.024538557,0.012645967,0.000161438,0.654312188,0.27,25.5,0.95,0.03,0.02,1,0.128428928
Dantumadiel,0.098463863,0.261730882,0.142953076,0.050113322,0.124569798,0.046251994,0.058591455,0.104843448,0.026861412,0.016956266,0.055653488,0.012759171,0.000251826,0.423746702,0.22,21.9,0.96,0.02,0.02,1,0.134357512
De Bilt,0.268754629,0.103093147,0.083871195,0.162346136,0.0581949,0.114520509,0.060064191,0.035234367,0.020668007,0.039643071,0.031495785,0.013860967,0.008253095,1.852466682,0.44,31.9,0.83,0.1,0.08,2,0.132993404
De Fryske Marren,0.220981871,0.226396155,0.110597396,0.096240419,0.09292493,0.067070203,0.070963621,0.031542767,0.029139798,0.022965081,0.010950237,0.018615403,0.001612118,0.697557193,0.23,,0.92,0.05,0.03,1,0.137733837
De Marne,0.134726337,0.172306253,0.12911274,0.0712615,0.140651801,0.089505692,0.084515827,0.081241229,0.026820521,0.041946047,0.012630594,0.015125526,0.000155933,0,0.21,22.6,0.94,0.04,0.02,1,0.158604282
De Ronde Venen,0.33230057,0.139636752,0.117307692,0.12232906,0.041666667,0.068233618,0.043126781,0.032549858,0.028881766,0.028917379,0.015883191,0.021794872,0.007371795,1.321720832,0.27,30.6,0.84,0.09,0.07,2,0.133947571
De Wolden,0.28,0.190188679,0.096037736,0.100125786,0.075471698,0.060314465,0.070251572,0.037735849,0.035974843,0.024402516,0.011320755,0.017987421,0.000188679,0.173473684,0.23,25.6,0.95,0.03,0.02,1,0.144710243
Delft,0.180820907,0.075632789,0.116829092,0.20631699,0.068017512,0.145965077,0.066256269,0.032205579,0.026670245,0.039384739,0.005434691,0.017310499,0.01915561,3.649141843,0.43,24.5,0.66,0.14,0.2,3,0.105118316
Delfzijl,0.131754503,0.138759173,0.160173449,0.079386258,0.169446298,0.068579053,0.088192128,0.053168779,0.048232155,0.023015344,0.005737158,0.015677118,0.017878586,0.878654385,0.14,22.4,0.82,0.08,0.1,3,0.143320649
Den Helder,0.222130898,0.122557078,0.196621005,0.08891933,0.084718417,0.065266362,0.057138508,0.032968037,0.054581431,0.033059361,0.008767123,0.030319635,0.002952816,2.597286683,0.19,23.1,0.8,0.1,0.1,3,0.140664049
Deurne,0.261130137,0.19560838,0.145598308,0.091257051,0.139202256,0.054441982,0.03203062,0.004482272,0.03877921,0.018634166,0.001259065,0.015612409,0.001964142,1.172769953,0.26,24.9,0.91,0.06,0.03,1,0.137350077
Deventer,0.186113252,0.102756687,0.106954853,0.149149707,0.104609784,0.12032011,0.084012529,0.026763312,0.02968235,0.036373178,0.003099428,0.012791289,0.037373522,2.409768379,0.34,24.1,0.79,0.09,0.13,3,0.111949242
Diemen,0.206147324,0.061738209,0.120959194,0.150172231,0.076046635,0.153219396,0.085784314,0.01781929,0.039149444,0.04491256,0.001059883,0.019674086,0.023317435,3.306818182,0.35,26.2,0.57,0.15,0.28,3,0.112056322
Dinkelland,0.253155919,0.373023996,0.112305243,0.083361765,0.062151712,0.033776868,0.031502331,0.005231434,0.021266917,0.010576595,0.001592176,0.011657,0.000398044,0.530868902,0.26,26,0.92,0.06,0.02,1,0.129286694
Doesburg,0.18461958,0.112353422,0.143714208,0.119580038,0.146986638,0.08576493,0.066266703,0.020725389,0.032315244,0.033815108,0.002863376,0.014044178,0.036951186,1.134920635,0.23,23.3,0.8,0.09,0.1,3,0.155453664
Doetinchem,0.215135596,0.141303422,0.1273605,0.128269203,0.126622178,0.081811728,0.065057504,0.023143547,0.028908136,0.024676984,0.010109328,0.013176203,0.014425671,1.627365102,0.26,24.3,0.86,0.07,0.07,2,0.131947852
Dongen,0.260083449,0.136869389,0.134972816,0.116639272,0.122328992,0.069604248,0.050006322,0.013402453,0.034644076,0.022442787,0.003413832,0.014982931,0.020609432,1.783614269,0.19,25.6,0.87,0.07,0.06,2,0.134658356
Dongeradeel,0.12747062,0.304220085,0.113648504,0.068042201,0.106103098,0.060162927,0.055221688,0.07946047,0.026442308,0.025507479,0.014222756,0.019297543,0.000200321,0.69958159,0.19,22.1,0.94,0.03,0.02,1,0.126772938
Dordrecht,0.185519701,0.093563662,0.159198527,0.103779376,0.094674383,0.092686777,0.057362914,0.047307962,0.032459371,0.03967906,0.030997895,0.017128493,0.04564188,3.229596564,0.28,24.2,0.7,0.11,0.18,3,0.119648617
Drechterland,0.316905953,0.147846427,0.121793838,0.120745281,0.070817874,0.065494435,0.052427811,0.011211486,0.036054202,0.028391676,0.002177771,0.025891273,0.000241975,0.445590511,0.23,26.4,0.9,0.07,0.03,1,0.14444903
Drimmelen,0.281228193,0.135322168,0.168469411,0.102930914,0.114328914,0.060479181,0.041870202,0.008432194,0.040067458,0.02605257,0.002733194,0.017213305,0.000872296,0.968005952,0.23,26.8,0.92,0.06,0.03,1,0.149168186
Dronten,0.258997121,0.180542226,0.118242163,0.089691299,0.074016315,0.064659309,0.041746641,0.070137556,0.031709853,0.022752719,0.015315099,0.020913308,0.011276392,1.109720177,0.25,25.3,0.84,0.07,0.08,2,0.11206008
Druten,0.256706282,0.129456706,0.142105263,0.122410866,0.132852292,0.065959253,0.049405772,0.005857385,0.037775891,0.021137521,0.001697793,0.016977929,0.017657046,1.071620894,0.3,25.1,0.88,0.06,0.06,2,0.130043635
Duiven,0.257271785,0.142996524,0.130007927,0.12519056,0.107933411,0.079151168,0.052381243,0.01542777,0.039209708,0.02628209,0.002195256,0.018476736,0.003475822,1.72992126,0.32,25.5,0.86,0.08,0.05,2,0.127529727
Echt-Susteren,0.162167537,0.19855829,0.229828486,0.087546607,0.128262491,0.052895849,0.032761621,0.005319413,0.051404425,0.0298782,0.001093711,0.017946806,0.002336565,0.886584983,0.28,24.9,0.83,0.13,0.04,1,0.161307559
Edam-Volendam,0.233158651,0.221916998,0.220268785,0.070027893,0.036598766,0.051517201,0.03782436,0.006635111,0.028653537,0.026286873,0.001901783,0.062124926,0.003085115,2.001396258,0.19,27.6,0.91,0.04,0.04,1,0.13622905
Ede,0.190269877,0.149348017,0.104121536,0.091976353,0.049908457,0.064080167,0.038154603,0.102695979,0.021984319,0.022501433,0.128174309,0.01537365,0.021411301,2.113373887,0.31,25.7,0.85,0.07,0.08,2,0.114855274
Eemnes,0.318409622,0.134313398,0.106916138,0.133645172,0.057467424,0.062479118,0.057133311,0.028399599,0.030905446,0.034580688,0.009355162,0.02505847,0.001336452,1.385555556,0.24,29,0.87,0.08,0.05,2,0.133459273
Eemsmond,0.124517852,0.171199684,0.111166057,0.072989813,0.164869944,0.075462368,0.094946098,0.100682425,0.026901395,0.031253091,0.013846306,0.012066067,9.89E-05,0.247126437,0.19,22.1,0.93,0.04,0.03,1,0.148505365
Eersel,0.278908727,0.204738862,0.109294177,0.112130819,0.119889872,0.055147672,0.037877524,0.007341899,0.035875188,0.022192558,0.001918905,0.014266644,0.000417153,0.661994609,0.31,28.2,0.91,0.06,0.03,1,0.13662822
Eijsden-Margraten,0.204431138,0.209041916,0.143293413,0.120958084,0.096706587,0.070419162,0.049101796,0.006227545,0.045269461,0.028862275,0.001017964,0.024550898,0.00011976,0.438339921,0.34,27.3,0.87,0.1,0.02,1,0.152666324
Eindhoven,0.191648261,0.086457026,0.125927574,0.16111579,0.115988432,0.12108115,0.052595618,0.015778685,0.035799978,0.040122035,0.001986239,0.016994264,0.03450495,3.220302376,0.35,24.6,0.67,0.14,0.19,3,0.100913306
Elburg,0.160997268,0.195696721,0.104030055,0.049112022,0.050409836,0.029849727,0.025819672,0.181762295,0.022814208,0.014071038,0.155737705,0.009562842,0.000136612,0.88102475,0.23,24.4,0.94,0.03,0.03,1,0.115000434
Emmen,0.149962012,0.143671175,0.188694727,0.081552955,0.155401915,0.065400395,0.085503723,0.029676341,0.045707339,0.021455706,0.004984045,0.023066403,0.004923264,1.090985208,0.18,22.3,0.88,0.07,0.05,2,0.139436227
Enkhuizen,0.228878513,0.102017443,0.131794556,0.11946084,0.109770064,0.09047661,0.070654568,0.021584001,0.036296362,0.04070126,0.014448066,0.019645846,0.01427187,2.320173067,0.27,24.1,0.84,0.09,0.07,2,0.137561556
Enschede,0.167609074,0.122802579,0.157653297,0.135992607,0.117192141,0.094321357,0.064212009,0.035543772,0.023365823,0.028063189,0.004136323,0.01859145,0.03051638,2.768433034,0.27,22.2,0.71,0.12,0.16,3,0.109358796
Epe,0.240001891,0.155053418,0.122530018,0.09738111,0.075635814,0.055355961,0.064479531,0.053275976,0.03569065,0.026425262,0.042214238,0.014748984,0.017207148,0.976951444,0.2,26,0.88,0.06,0.05,2,0.144082122
Ermelo,0.210410896,0.206255771,0.094759926,0.076234995,0.0533241,0.056440443,0.034856879,0.127943213,0.024007387,0.025507849,0.069309788,0.017024469,0.003924284,1.477999248,0.33,26.9,0.9,0.06,0.04,1,0.135840542
