"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west","Perc_60plus"
"Renswoude",0.219504644,0.594911937,0.28,27,"1",0.104881396
"Reusel-De Mierden",0.201910988,0.707751938,0.31,25.9,"1",0.148590022
"Rheden",0.10981242,2.169110907,0.3,25.2,"2",0.134631687
"Rhenen",0.126294661,1.087710352,0.28,26.3,"2",0.123488289
"Ridderkerk",0.120297615,2.547676723,0.24,25.3,"3",0.136165433
"Rijnwaarden",0.142347697,0.35174954,0.14,23,"1",0.158219683
"Rijssen-Holten",0.203543752,1.717820479,0.2,24.7,"2",0.106547666
"Roerdalen",0.166875098,0.276195075,0.24,25.2,"1",0.167826087
"Roermond",0.120378358,2.099303136,0.29,23.6,"3",0.134187141
"Roosendaal",0.127296094,2.445250745,0.24,24.7,"3",0.131695243
"Rotterdam",0.059619712,3.546490191,0.31,22.9,"3",0.099125516
"Rucphen",0.114620479,0.909131603,0.21,24.7,"1",0.149429403
"Schagen",0.119690729,0.988744589,0.26,25.6,"1",0.145281753
"Scherpenzeel",0.170476497,1.318556701,0.28,25.6,"1",0.10706925
"Schiedam",0.079398569,3.635966602,0.19,23.1,"3",0.114622678
"Schinnen",0.182322999,0.49382716,0.34,26,"1",0.155396017
"Schouwen-Duiveland",0.134665432,0.552561445,0.22,26.2,"1",0.15365023
"Simpelveld",0.174504763,0.830812854,0.22,24.1,"1",0.151925078
"Sint-Michielsgestel",0.155804706,0.758656873,0.3,28.1,"1",0.132941506
"Sint Anthonis",0.263325277,0.191544435,0.18,26.3,"1",0.136967397
"Sittard-Geleen",0.150433354,2.047894568,0.25,23.8,"2",0.144954404
"Sliedrecht",0.131292472,2.423030788,0.21,24.6,"2",0.112745882
"Slochteren",0.132569732,0.002713704,0.27,25,"1",0.140734206
"Sluis",0.139271435,0.4306847,0.28,24.9,"1",0.159861358
"Smallingerland",0.173344798,1.831747172,0.25,23,"2",0.122506509
"Soest",0.116288576,2.197035745,0.35,28.6,"3",0.133430701
"Someren",0.19537553,0.892857143,0.2,25.2,"1",0.124921202
"Son en Breugel",0.161097965,0.838244137,0.35,29.7,"1",0.10742211
"Stadskanaal",0.172095436,1.062926224,0.17,21.5,"1",0.135092397
"Staphorst",0.176421249,0.386458957,0.18,24.5,"1",0.09789707
"Stede Broec",0.138907876,1.845083488,0.19,24.6,"2",0.135579065
"Steenbergen",0.12756169,0.95494368,0.22,24.8,"1",0.137004589
"Steenwijkerland",0.194161938,0.740450989,0.22,23.6,"1",0.135886577
"Stichtse Vecht",0.117104781,1.750349108,0.34,29.4,"2",0.135608999
"Strijen",0.148185826,0.718678815,0.22,27.2,"1",0.142857143
"Ten Boer",0.177536987,0.528120713,0.27,24.7,"1",0.137486279
"Terneuzen",0.139844471,1.119985345,0.2,24.5,"2",0.142265699
"Terschelling",0.115890411,0,0.23,25.9,"1",0.140563902
"Texel",0.133509988,0.782865583,0.28,24.3,"1",0.160354374
"Teylingen",0.137969474,2.303878116,0.33,29.8,"2",0.115424043
"Tholen",0.119924338,0.556991774,0.16,24,"1",0.115798958
"Tiel",0.096891451,2.075421687,0.21,24.3,"3",0.119166988
"Tilburg",0.093962328,3.066180253,0.31,23.4,"3",0.108150456
"Tubbergen",0.420187107,0.210302457,0.23,25.5,"1",0.12324493
"Twenterand",0.297347849,0.663220089,0.2,22.9,"1",0.120224553
"Tynaarlo",0.113503732,0.557692308,0.35,27.7,"1",0.140174279
"Tytsjerksteradiel",0.248816669,0.468710889,0.25,23.9,"1",0.138785471
"Uden",0.15725334,1.930642823,0.28,25.5,"2",0.131355113
"Uitgeest",0.111338332,1.723830735,0.26,27.8,"2",0.116747122
"Uithoorn",0.102261885,2.182876712,0.32,27.5,"3",0.107051128
"Urk",0.143909543,1.704253215,0.17,24,"1",0.066963403
"Utrecht (gemeente)",0.05555013,3.478807136,0.53,26.3,"3",0.070878445
"Utrechtse Heuvelrug",0.124205394,1.115212072,0.39,30.2,"2",0.130315081
"Vaals",0.153001937,1.461380021,0.21,22.2,"2",0.164366632
"Valkenburg aan de Geul",0.167362877,0.71107056,0.26,25.3,"1",0.157907543
"Valkenswaard",0.149062946,2.105832241,0.21,25.3,"1",0.142286014
"Veendam",0.101171016,1.479476934,0.22,22.2,"2",0.139935336
"Veenendaal",0.14538281,2.952240199,0.28,24.8,"3",0.115780139
"Veere",0.170972695,0.250684932,0.22,26.7,"1",0.160730594
"Veldhoven",0.139292016,2.489604292,0.34,27,"2",0.129930239
"Velsen",0.089237529,2.749778172,0.25,25.8,"2",0.122524734
"Venlo",0.12888609,2.316612249,0.23,23.3,"3",0.135574268
"Venray",0.18164751,1.412993572,0.25,24.7,"2",0.133088488
"Vianen",0.13523825,1.289553753,0.27,26.5,"3",0.130212032
"Vlaardingen",0.099010135,3.570833333,0.22,23.6,"3",0.125585078
"Vlagtwedde",0.160221551,0.296040226,0.22,22,"1",0.156839326
"Vlissingen",0.10560539,2.795541545,0.19,23.1,"3",0.139185476
"Voerendaal",0.174691651,0.498797113,0.33,26.8,"1",0.161531054
"Voorschoten",0.116096122,2.651916239,0.37,30.9,"2",0.130357496
"Voorst",0.186951304,0.716646014,0.27,26.3,"1",0.148642506
"Vught",0.111543761,1.935828877,0.4,29.9,"1",0.129091395
"Waalre",0.136524662,1.05443787,0.36,31.3,"2",0.1294236
"Waalwijk",0.132649452,1.82071293,0.24,24.9,"2",0.131638895
"Waddinxveen",0.13630753,2.278070836,0.27,26.7,"2",0.133064516
"Wageningen",0.079398406,2.716328653,0.45,25.3,"3",0.096130844
"Wassenaar",0.122752098,2.074856046,0.39,39.3,"3",0.128228747
"Waterland",0.143208411,0.87854251,0.28,29.6,"2",0.151359167
"Weert",0.148249579,1.798104074,0.24,24.8,"3",0.13406221
"Weesp",0.096975474,2.562966916,0.34,26.9,"3",0.126233268
"Werkendam",0.185255648,0.744878957,0.18,26.5,"1",0.127589033
"West Maas en Waal",0.152207124,0.292087095,0.25,25.6,"1",0.142082891
"Westerveld",0.137235194,0,0.24,25.6,"1",0.161182142
"Westervoort",0.125916614,1.847898599,0.23,24.3,"2",0.150090054
"Westland",0.188578092,2.119390267,0.24,26.3,"2",0.119670176
"Weststellingwerf",0.16419472,0.830210773,0.15,23,"1",0.138901906
"Westvoorne",0.114383847,0.732117812,0.26,31.8,"1",0.155642842
"Wierden",0.298132449,0.943045811,0.29,26.4,"1",0.128173375
"Wijchen",0.136796405,1.726272016,0.31,25.8,"2",0.134430962
"Wijdemeren",0.130953144,0.733049041,0.27,30.1,"1",0.143173967
"Wijk bij Duurstede",0.128942064,1.637446809,0.28,27.9,"2",0.147136414
"Winsum",0.176839512,0.444852941,0.31,24.2,"1",0.152177111
"Winterswijk",0.157028913,1.774204703,0.2,23.5,"2",0.138385445
"Woensdrecht",0.142074768,0.986721612,0.19,25.5,"1",0.139762788
"Woerden",0.15709603,1.839642788,0.33,28.4,"2",0.119523227
"Wormerland",0.099270353,2.024652339,0.27,26.7,"2",0.128571429
"Woudenberg",0.158551656,1.327817179,0.31,27.2,"2",0.112510826
"Woudrichem",0.209831255,0.225584594,0.25,26.8,"1",0.133846895
"Zaanstad",0.07379781,2.730088496,0.25,24.3,"3",0.114309697
"Zaltbommel",0.129619868,0.789397764,0.26,26.5,"2",0.117895268
"Zandvoort",0.076318007,2.684428656,0.26,26.3,"2",0.153381857
"Zederik",0.210406257,0.053429603,0.22,27.1,"1",0.119419159
"Zeewolde",0.146226415,1.298753339,0.25,25.6,"2",0.090528566
