"","Zeer.sterk.stedelijk","Sterk.stedelijk","Matig.stedelijk","Weinig.stedelijk","Niet.stedelijk","stedelijkheidsindex"
"Hoorn",0,42510,21150,8680,150,2.46254655814595
"Horst aan de Maas",0,1150,7660,12030,21300,0.730897009966777
"Houten",0,25310,12310,8210,3470,2.20608519269777
"Huizen",10500,18970,7870,2910,1130,2.84098598356694
"Hulst",0,0,3030,7020,17350,0.477372262773723
"IJsselstein",3060,19540,10510,570,530,2.70242619117217
"Kaag en Braassem",0,0,4790,10870,10710,0.77550246492226
"Kampen",2500,18230,13340,8840,9600,1.9083984003047
"Kapelle",0,0,1060,8920,2650,0.874109263657957
"Katwijk",17340,36680,7310,1200,2010,3.02479082739386
"Kerkrade",5580,20990,13140,5870,350,2.55693446549096
"Koggenland",0,0,20,10830,11670,0.482682060390764
"Kollumerland en Nieuwkruisland",0,0,0,4640,8240,0.360248447204969
"Korendijk",0,0,0,510,10450,0.0465328467153285
"Krimpen aan den IJssel",2770,19770,5760,820,10,2.84002746309646
"Krimpenerwaard",0,1450,15060,24800,13890,1.07373188405797
"Laarbeek",0,0,2220,11870,7850,0.743391066545123
"Landerd",0,0,0,8370,6970,0.545632333767927
"Landgraaf",0,20560,12440,3150,1300,2.3954606141522
"Landsmeer",0,0,7260,2360,1650,1.49778172138421
"Langedijk",0,0,11940,12950,2720,1.33393697935531
"Lansingerland",0,19210,28240,9060,3590,2.04941763727121
"Laren",0,0,6220,3900,970,1.47339945897205
"Leek",0,0,5940,6600,7110,0.940458015267176
"Leerdam",0,5850,9620,2260,3180,1.8675274988044
"Leeuwarden",42150,24650,16510,12600,12760,2.65178982239809
"Leeuwarderadeel",0,0,0,6820,3290,0.67457962413452
"Leiden",94280,26810,2320,150,110,3.73849761461955
"Leiderdorp",14500,5450,5830,1100,250,3.2108367121268
"Leidschendam-Voorburg",42410,27060,2730,90,2310,3.43659517426273
"Lelystad",0,34830,19830,14990,7300,2.06809616634178
"Leudal",0,0,0,9880,26000,0.27536231884058
"Leusden",0,9690,8490,7680,3820,1.81030997304582
"Lingewaal",0,20,50,1340,9740,0.134529147982063
"Lingewaard",0,6250,14790,13620,11520,1.34148982243395
"Lisse",0,11760,7610,1750,1600,2.29973591549296
"Littenseradiel",0,0,0,0,10750,0
"Lochem",0,2440,7280,4600,19220,0.789505068574836
"Loon op Zand",0,3990,7670,8160,3280,1.53549783549784
"Lopik",0,0,40,5270,8900,0.37649542575651
"Loppersum",0,0,0,0,9910,0
"Losser",0,0,5640,9230,7610,0.912366548042705
"Maasdriel",0,0,970,9340,13950,0.464962901896125
"Maasgouw",0,0,0,7450,16330,0.313288477712363
"Maassluis",3420,22980,5310,650,100,2.89248305606901
"Maastricht",46890,48080,15720,8700,3370,3.02981427174976
"De Marne",0,0,0,0,10090,0
"Marum",0,0,0,3620,6770,0.348411934552454
"Medemblik",0,0,4480,17910,21670,0.609850204266909
"Meerssen",0,0,880,10130,8060,0.62349239643419
"Meierijstad",0,12640,28030,18820,20380,1.41229497934143
