"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Grave",0.151349287169043,0.777687954729184,0.25,25.3,0.05,"2"
"Grootegast",0.27503015681544,0,0.19,22.9,0.01,"1"
"Gulpen-Wittem",0.189821882951654,0.207112970711297,0.31,25.6,0.02,"1"
"Haaksbergen",0.246475327291037,1.45035022661722,0.21,24.8,0.05,"2"
"Haaren",0.198304126625212,0.291157440690151,0.27,29,0.02,"1"
"Haarlem",0.0617587473093319,3.73539756312021,0.42,26.1,0.15,"3"
"Haarlemmerliede en Spaarnwoude",0.114682647779896,0.646643109540636,0.21,28.6,0.06,"2"
"Haarlemmermeer",0.105204060588006,2.43472602739726,0.29,28,0.15,"3"
"Halderberge",0.138574283810793,0.980730223123732,0.25,25.7,0.08,"2"
"Hardenberg",0.259727727936574,0.615346287992028,0.16,23.6,0.03,"1"
"Harderwijk",0.171326840506859,2.27594390507012,0.24,25.1,0.11,"3"
"Hardinxveld-Giessendam",0.151286061870003,1.39149888143177,0.23,25.7,0.03,"1"
"Haren",0.115948636121875,1.30250383239653,0.46,30.8,0.05,"2"
"Harlingen",0.14019173281105,1.52269861286255,0.25,22.2,0.04,"1"
"Hattem",0.189377016629437,1.20847176079734,0.31,26.6,0.03,"1"
"Heemskerk",0.108419509811905,3.11130967577227,0.23,25.8,0.1,"3"
"Heemstede",0.101797752808989,2.47512991833705,0.47,35.3,0.06,"2"
"Heerde",0.214490380679492,0.785560344827586,0.27,25.7,0.03,"1"
"Heerenveen",0.137660598718398,1.32470119521912,0.23,24.1,0.06,"2"
"Heerhugowaard",0.111124972709977,2.48826205641492,0.21,24.9,0.12,"3"
"Heerlen",0.0974673053989045,2.69411629774057,0.22,21.8,0.09,"2"
"Heeze-Leende",0.177452216939944,0.616804583068109,0.28,29.2,0.03,"1"
"Heiloo",0.113025719573681,1.97944006999125,0.36,29.5,0.04,"1"
"Hellendoorn",0.306369560647467,1.13666852990497,0.18,24.2,0.03,"1"
"Hellevoetsluis",0.090559261159569,2.40629839958699,0.22,26.7,0.09,"2"
"Helmond",0.107477778683846,2.40955744399073,0.23,23.7,0.13,"3"
"Hendrik-Ido-Ambacht",0.125140803518747,2.77168796234028,0.24,27.5,0.07,"2"
"het Bildt",0.219546966576905,0.168571428571429,0.19,21.9,0.04,"1"
"Heumen",0.150122160890417,1.02912621359223,0.33,28.6,0.04,"1"
"Heusden",0.146451919214054,1.56548713235294,0.31,26.3,0.06,"2"
"Hillegom",0.123764989818237,2.33129985922102,0.24,26.2,0.06,"2"
"Hilvarenbeek",0.206145966709347,0.675392670157068,0.29,27.5,0.02,"1"
"Hilversum",0.0828961175236096,3.28904140414041,0.39,27.4,0.13,"3"
"Hof van Twente",0.24852397740305,0.779777206512425,0.28,26,0.03,"1"
"Hollands Kroon",0.131919226200577,0.430581810544003,0.19,25,0.03,"1"
"Hoogeveen",0.205250737463127,1.55921171578376,0.19,22.5,0.05,"2"
"Hoogezand-Sappemeer",0.0893240745366439,1.91089687408706,0.2,21.8,0.12,"3"
"Hoorn",0.0896022102034605,2.46254655814595,0.25,24.8,0.14,"3"
"Horst aan de Maas",0.224982799480162,0.730897009966777,0.24,25.7,0.03,"1"
"Houten",0.122037155669443,2.20608519269777,0.41,29.7,0.08,"2"
"Huizen",0.130464097089561,2.84098598356694,0.33,28.3,0.1,"3"
"Hulst",0.155063497232172,0.477372262773723,0.21,25.3,0.03,"1"
"IJsselstein",0.125011865211201,2.70242619117217,0.3,27.8,0.13,"3"
"Kaag en Braassem",0.155863490609253,0.77550246492226,0.23,28,0.04,"1"
"Kampen",0.195175372798464,1.9083984003047,0.23,23.3,0.05,"2"
"Kapelle",0.156886517943744,0.874109263657957,0.26,26.4,0.03,"1"
"Katwijk",0.204955848794523,3.02479082739386,0.2,25.6,0.05,"2"
"Kerkrade",0.110844817255842,2.55693446549096,0.2,21.4,0.06,"2"
"Koggenland",0.153936302219771,0.482682060390764,0.26,26.3,0.03,"1"
"Kollumerland en Nieuwkruisland",0.285370182555781,0.360248447204969,0.16,22.2,0.02,"1"
"Korendijk",0.126909841706813,0.0465328467153285,0.24,27.4,0.02,"1"
"Krimpen aan den IJssel",0.107129525942516,2.84002746309646,0.24,26.8,0.08,"2"
"Krimpenerwaard",0.133035861841018,1.07373188405797,0.25,27.1,0.05,"2"
"Laarbeek",0.174241324234064,0.743391066545123,0.25,25.6,0.02,"1"
"Landerd",0.190893693334662,0.545632333767927,0.28,25.8,0.03,"1"
"Landgraaf",0.118680172151458,2.3954606141522,0.25,23.3,0.04,"1"
"Landsmeer",0.0743059335873707,1.49778172138421,0.36,30.1,0.08,"2"
"Langedijk",0.120490742304013,1.33393697935531,0.3,26.7,0.05,"2"
"Lansingerland",0.1357988005835,2.04941763727121,0.36,30.4,0.1,"3"
"Leek",0.159046849757674,0.940458015267176,0.26,24,0.03,"1"
"Leerdam",0.131160447173673,1.8675274988044,0.25,24.5,0.14,"3"
"Leeuwarden",0.108325660141979,2.65178982239809,0.3,22.6,0.1,"3"
"Leeuwarderadeel",0.195778207224617,0.67457962413452,0.25,24.1,0.04,"1"
"Leiden",0.062921172230058,3.73849761461955,0.45,26,0.16,"3"
"Leiderdorp",0.114277555682467,3.2108367121268,0.32,28.3,0.11,"3"
"Leidschendam-Voorburg",0.117005225985612,3.43659517426273,0.39,28.3,0.16,"3"
"Lelystad",0.0901357338109153,2.06809616634178,0.23,23.5,0.2,"3"
"Leudal",0.180122010954268,0.27536231884058,0.24,25.9,0.03,"1"
"Leusden",0.149003464029319,1.81030997304582,0.34,29.4,0.05,"2"
"Lingewaal",0.171243273078515,0.134529147982063,0.24,27.1,0.04,"1"
"Lingewaard",0.142246703388416,1.34148982243395,0.27,25.6,0.03,"1"
"Lisse",0.144505201387037,2.29973591549296,0.22,26.6,0.05,"2"
"Littenseradiel",0.255152807391613,0,0.25,25.1,0.02,"1"
"Lochem",0.15939751146038,0.789505068574836,0.35,27.9,0.04,"1"
"Loon op Zand",0.145376284365454,1.53549783549784,0.22,25.8,0.04,"1"
"Lopik",0.193772007042254,0.37649542575651,0.17,27.2,0.04,"1"
"Loppersum",0.200708564386938,0,0.24,23.6,0.02,"1"
"Losser",0.259150189314262,0.912366548042705,0.24,24,0.03,"1"
"Maasdriel",0.186624787331501,0.464962901896125,0.25,26.2,0.03,"1"
"Maasgouw",0.166407570125042,0.313288477712363,0.26,25.9,0.03,"1"
"Maassluis",0.133969369821742,2.89248305606901,0.23,25.1,0.19,"3"
"Maastricht",0.10610837292601,3.02981427174976,0.37,23.5,0.11,"3"
"Marum",0.181499007785071,0.348411934552454,0.21,24.2,0.02,"1"
"Medemblik",0.146730521274636,0.609850204266909,0.25,25.2,0.04,"1"
"Meerssen",0.16531746031746,0.62349239643419,0.31,27.1,0.03,"1"
"Menameradiel",0.198969072164948,0,0.2,24,0.02,"1"
"Menterwolde",0.0945697796432319,0.328947368421053,0.21,22.8,0.03,"1"
"Meppel",0.136385065057515,1.74568574023615,0.31,23.9,0.06,"2"
"Midden-Delfland",0.189241787326794,1.85128744088282,0.32,30.4,0.05,"2"
"Midden-Drenthe",0.176307159774094,0.361485474693022,0.26,24.7,0.03,"1"
"Mill en Sint Hubert",0.204961197339246,0.235892691951896,0.21,25.3,0.02,"1"
"Moerdijk",0.14446992414888,1.07117726657645,0.26,26.1,0.04,"1"
"Molenwaard",0.173679164891351,0.422458062307429,0.21,27.2,0.03,"1"
"Montferland",0.186853927683517,0.999716874292186,0.2,24,0.03,"1"
"Montfoort",0.164803857111549,0.865800865800866,0.29,28.7,0.05,"2"
"Mook en Middelaar",0.119798469863781,0.437580437580438,0.31,29.5,0.04,"1"
"Neder-Betuwe",0.109960380899423,0.517374517374517,0.19,24.6,0.02,"1"
"Nederweert",0.216805464583138,0.755186721991701,0.27,25.1,0.02,"1"
"Neerijnen",0.147081712062257,0,0.28,28,0.03,"1"
"Nieuwegein",0.106674917269768,2.89591078066915,0.27,25.6,0.16,"3"
"Nieuwkoop",0.178058458615101,0.51432664756447,0.26,28.2,0.04,"1"
"Nijkerk",0.184734848484848,1.73264719961704,0.22,26.3,0.06,"2"
"Nijmegen",0.0672428080975494,3.01636321733118,0.43,23.8,0.14,"3"
"Nissewaard",0.0938964374644629,2.74019435663271,0.2,25.2,0.14,"3"
"Noord-Beveland",0.14873215427232,0,0.25,24.6,0.03,"1"
"Noordenveld",0.124993983732011,0.839599757428745,0.3,25.5,0.08,"2"
"Noordoostpolder",0.203495495495496,0.96691018478728,0.2,24.2,0.07,"2"
"Noordwijk",0.116134535705581,2.43834557402397,0.29,28.7,0.05,"2"
"Noordwijkerhout",0.13996120271581,1.80208333333333,0.24,26.3,0.04,"1"
"Nunspeet",0.165929203539823,1.1368538490145,0.19,25.2,0.03,"1"
"Nuth",0.1815305517105,0.473546701502286,0.3,25.9,0.03,"1"
"Oegstgeest",0.103840777474539,2.63362981787378,0.45,34,0.08,"2"
"Oirschot",0.1970561481849,0.70972972972973,0.26,27.6,0.03,"1"
"Oisterwijk",0.146840932361621,1.46414803392444,0.33,28.4,0.05,"2"
"Oldambt",0.101883923291375,1.0390870933893,0.16,21.6,0.03,"1"
"Oldebroek",0.195386610250461,0.896818572656922,0.18,24.1,0.02,"1"
"Oldenzaal",0.208471436927276,2.17713214620431,0.27,24.7,0.08,"2"
"Olst-Wijhe",0.206940764167878,0.503064066852368,0.26,25.3,0.03,"1"
"Ommen",0.32349887523793,0.65373645179692,0.22,25.2,0.03,"1"
"Onderbanken",0.146132376395534,0.567430025445293,0.2,23.8,0.03,"1"
"Oost Gelre",0.246353656651033,1.05028687141411,0.23,25,0.03,"1"
"Oosterhout",0.119018220147568,2.22523347372276,0.27,25.9,0.11,"3"
"Ooststellingwerf",0.169789154764113,0.482974559686888,0.2,22.9,0.02,"1"
"Oostzaan",0.0672068636796949,1.54507772020725,0.28,28.2,0.07,"2"
"Opmeer",0.156936335835418,0.619089316987741,0.25,25.9,0.03,"1"
"Opsterland",0.169901621909067,0.360026917900404,0.2,24.2,0.03,"1"
"Oss",0.144568006843456,1.90906073680717,0.26,25,0.09,"2"
"Oud-Beijerland",0.117872421939851,2.16860949208993,0.26,27.3,0.04,"1"
"Oude IJsselstreek",0.187276199570303,0.857215061915593,0.24,23.5,0.06,"2"
"Ouder-Amstel",0.100132227431182,1.82563338301043,0.36,31.5,0.12,"3"
"Oudewater",0.187849478615687,1.21764705882353,0.27,28.3,0.04,"1"
"Overbetuwe",0.152051676819064,1.13673770837729,0.3,26.1,0.04,"1"
"Papendrecht",0.133533494118226,2.73760842627014,0.28,26.4,0.09,"2"
"Peel en Maas",0.236258401792382,0.734948096885813,0.2,24.9,0.04,"1"
"Pekela",0.102043615416267,0.48482428115016,0.16,20.8,0.04,"1"
"Pijnacker-Nootdorp",0.128767723559423,2.40903911887581,0.37,29.3,0.12,"3"
"Purmerend",0.0804102477879826,3.18591267358939,0.23,24.8,0.17,"3"
"Putten",0.210776644345704,1.34015554645927,0.29,25.9,0.03,"1"
"Raalte",0.292205924647685,0.829856407477648,0.24,25.1,0.03,"1"
"Reimerswaal",0.11864794750496,0.636404293381038,0.17,24.5,0.04,"1"
"Renkum",0.121252882398155,1.29490445859873,0.4,28.4,0.05,"2"
"Renswoude",0.219504643962848,0.594911937377691,0.28,27,0.02,"1"
"Reusel-De Mierden",0.201910988182047,0.707751937984496,0.31,25.9,0.02,"1"
"Rheden",0.109812420065369,2.16911090742438,0.3,25.2,0.07,"2"
"Rhenen",0.126294660778804,1.0877103518613,0.28,26.3,0.05,"2"
"Ridderkerk",0.12029761490856,2.54767672318872,0.24,25.3,0.1,"3"
"Rijnwaarden",0.142347696879643,0.351749539594843,0.14,23,0.03,"1"
"Rijssen-Holten",0.203543752018082,1.71782047907344,0.2,24.7,0.05,"2"
"Roerdalen",0.166875097702048,0.276195074843071,0.24,25.2,0.03,"1"
"Roermond",0.120378358392901,2.0993031358885,0.29,23.6,0.14,"3"
"Roosendaal",0.127296093594204,2.4452507451082,0.24,24.7,0.14,"3"
"Rotterdam",0.0596197116146411,3.5464901914441,0.31,22.9,0.38,"3"
"Rucphen",0.114620478858889,0.909131602506714,0.21,24.7,0.03,"1"
"Schagen",0.11969072861098,0.988744588744589,0.26,25.6,0.04,"1"
"Scherpenzeel",0.170476497102382,1.31855670103093,0.28,25.6,0.03,"1"
"Schiedam",0.0793985691766703,3.63596660244059,0.19,23.1,0.29,"3"
"Schinnen",0.182322998611754,0.493827160493827,0.34,26,0.03,"1"
"Schouwen-Duiveland",0.134665431608663,0.552561445069588,0.22,26.2,0.03,"1"
"Simpelveld",0.174504763344927,0.830812854442344,0.22,24.1,0.02,"1"
"Sint-Michielsgestel",0.155804705622446,0.758656873032529,0.3,28.1,0.03,"1"
"Sint Anthonis",0.263325276682356,0.191544434857636,0.18,26.3,0.02,"1"
"Sittard-Geleen",0.15043335430209,2.04789456766313,0.25,23.8,0.07,"2"
"Sliedrecht",0.131292472125091,2.42303078768493,0.21,24.6,0.09,"2"
"Slochteren",0.132569731678863,0.00271370420624152,0.27,25,0.02,"1"
"Sluis",0.139271434917814,0.430684699915469,0.28,24.9,0.03,"1"
"Smallingerland",0.173344797936371,1.83174717184414,0.25,23,0.05,"2"
"Soest",0.116288575516043,2.19703574542284,0.35,28.6,0.12,"3"
"Someren",0.195375530233719,0.892857142857143,0.2,25.2,0.02,"1"
"Son en Breugel",0.161097964978703,0.838244137101624,0.35,29.7,0.04,"1"
"Stadskanaal",0.172095435684647,1.06292622442653,0.17,21.5,0.03,"1"
"Staphorst",0.176421248835042,0.386458957459557,0.18,24.5,0.02,"1"
"Stede Broec",0.138907875749981,1.84508348794063,0.19,24.6,0.05,"2"
"Steenbergen",0.127561689669594,0.954943679599499,0.22,24.8,0.03,"1"
"Steenwijkerland",0.194161938407736,0.740450989415555,0.22,23.6,0.04,"1"
"Stichtse Vecht",0.117104780535518,1.75034910783553,0.34,29.4,0.09,"2"
"Strijen",0.148185825703628,0.718678815489749,0.22,27.2,0.03,"1"
"Ten Boer",0.177536986872265,0.528120713305898,0.27,24.7,0.03,"1"
"Terneuzen",0.139844470805325,1.11998534530134,0.2,24.5,0.07,"2"
"Terschelling",0.115890410958904,0,0.23,25.9,0.02,"1"
"Texel",0.133509987770077,0.782865583456425,0.28,24.3,0.03,"1"
"Teylingen",0.137969473503687,2.30387811634349,0.33,29.8,0.06,"2"
"Tholen",0.119924337957125,0.556991774383079,0.16,24,0.03,"1"
"Tiel",0.0968914514916019,2.07542168674699,0.21,24.3,0.16,"3"
"Tilburg",0.0939623276152035,3.06618025349609,0.31,23.4,0.16,"3"
"Tubbergen",0.420187107148078,0.210302457466919,0.23,25.5,0.01,"1"
"Twenterand",0.297347849024028,0.663220088626292,0.2,22.9,0.02,"1"
