"Muni","CDA_frac","GL_frac","Urban_index","High_educated_frac","Mean_income","CDA_abs","GL_abs","Total_abs"
"Langedijk",0.12,0.088,1.334,0.3,26.7,2141,1559,17769
"Lansingerland",0.136,0.056,2.049,0.36,30.4,5027,2060,37018
"Leek",0.159,0.088,0.94,0.26,24,1969,1090,12380
"Leerdam",0.131,0.054,1.868,0.25,24.5,1666,684,12702
"Leeuwarden",0.108,0.131,2.652,0.3,22.6,7294,8809,67334
"Leeuwarderadeel",0.196,0.077,0.675,0.25,24.1,1317,518,6727
"Leiden",0.063,0.172,3.738,0.45,26,4818,13179,76572
"Leiderdorp",0.114,0.09,3.211,0.32,28.3,2001,1581,17510
"Leidschendam-Voorburg",0.117,0.082,3.437,0.39,28.3,5351,3744,45733
"Lelystad",0.09,0.089,2.068,0.23,23.5,3825,3796,42436
"Leudal",0.18,0.043,0.275,0.24,25.9,4045,966,22457
"Leusden",0.149,0.089,1.81,0.34,29.4,2968,1770,19919
"Lingewaal",0.171,0.047,0.135,0.24,27.1,1241,341,7247
"Lingewaard",0.142,0.075,1.341,0.27,25.6,4261,2245,29955
"Lisse",0.145,0.06,2.3,0.22,26.6,2167,902,14996
"Littenseradiel",0.255,0.091,0,0.25,25.1,1795,638,7035
"Lochem",0.159,0.094,0.79,0.35,27.9,3651,2160,22905
"Loon op Zand",0.145,0.065,1.535,0.22,25.8,2094,938,14404
"Lopik",0.194,0.037,0.376,0.17,27.2,1761,339,9088
"Loppersum",0.201,0.111,0,0.24,23.6,1303,723,6492
"Losser",0.259,0.047,0.912,0.24,24,3696,668,14262
"Maasdriel",0.187,0.044,0.465,0.25,26.2,2852,668,15282
"Maasgouw",0.166,0.053,0.313,0.26,25.9,2462,782,14795
"Maassluis",0.134,0.059,2.892,0.23,25.1,2668,1173,19915
"Maastricht",0.106,0.11,3.03,0.37,23.5,7169,7441,67563
"Marum",0.181,0.065,0.348,0.21,24.2,1189,429,6551
"Medemblik",0.147,0.063,0.61,0.25,25.2,3983,1707,27145
"Meerssen",0.165,0.072,0.623,0.31,27.1,2083,909,12600
"Meierijstad",0.178,0.061,1.412,0.22,NA,8712,2962,48952
"Menameradiel",0.199,0.087,0,0.2,24,1737,760,8730
