Gemeente;Zeer sterk stedelijk;Sterk stedelijk;Matig stedelijk;Weinig stedelijk;Niet stedelijk
Teylingen;0;19390;9950;5100;1660
Tholen;0;0;1320;11580;12630
Tiel;0;16380;14160;8670;2290
Tilburg;103820;51020;31970;23300;3700
Tubbergen;0;0;0;4450;16710
Twenterand;0;0;2020;18410;13420
Tynaarlo;0;0;4460;9640;19180
Tytsjerksteradiel;0;0;2590;9800;19570
Uden;840;16990;9220;7120;7210
Uitgeest;0;0;10020;3180;270
Uithoorn;0;13780;8300;5800;1320
Urk;0;0;14430;5600;190
Utrecht (gemeente);221540;80210;28180;10220;2890
Utrechtse Heuvelrug;0;4610;7360;26140;10930
Vaals;0;1040;5040;990;2640
Valkenburg aan de Geul;0;0;3980;3730;8730
Valkenswaard;0;11770;12100;4760;1890
Veendam;0;2890;12270;7520;4850
Veenendaal;21670;25170;10630;6320;490
Veere;0;0;0;5490;16410
Veldhoven;2180;25190;11870;3330;2160
Velsen;14530;31960;12300;7340;1490
Venlo;15580;40190;16530;18190;10580
Venray;0;11480;11160;4790;16130
Vianen;0;0;9480;6470;3770
Vlaardingen;46160;21470;3770;510;90
Vlagtwedde;0;0;0;4710;11200
Vlieland;0;0;0;0;1090
Vlissingen;8390;22180;10830;2390;620
Voerendaal;0;0;0;6220;6250
Voorschoten;1470;15080;7500;1000;260
Voorst;0;0;6230;4890;13090
Vught;0;8290;10550;4710;2630
Waalre;0;0;2850;12120;1930
Waalwijk;0;16520;11050;14660;5180
Waddinxveen;0;14400;6160;4940;1040
Wageningen;10890;14860;6280;3770;2660
Wassenaar;1260;12470;4720;2160;5440
Waterland;0;0;5790;3610;7890
Weert;1180;14690;14260;11840;7610
Weesp;0;14080;1910;1970;780
Werkendam;0;0;5340;9320;12190
West Maas en Waal;0;0;0;5500;13330
Westerveld;0;0;0;0;19080
Westervoort;0;1350;10130;3390;120
Westland;5840;43210;23430;24000;9140
Weststellingwerf;0;960;7050;4290;13320
Westvoorne;0;0;0;10440;3820
Wierden;0;0;4630;13590;6010
Wijchen;0;13420;10510;9290;7660
Wijdemeren;0;10;3090;10980;9370
Wijk bij Duurstede;0;5470;10060;1950;6020
Winsum;0;0;0;6050;7550
Winterswijk;0;9830;8850;4120;6120
Woensdrecht;0;0;4640;12270;4930
Woerden;1760;16780;12200;12980;7790
De Wolden;0;0;0;4120;19630
Wormerland;0;9010;1980;1040;3790
Woudenberg;0;0;5600;5650;1440
Woudrichem;0;0;0;3280;11260
Zaanstad;35610;70560;25670;14100;7740
Zaltbommel;0;1500;6960;3470;15800
Zandvoort;3820;8560;1350;1680;1480
Zederik;0;0;0;740;13110
Zeewolde;0;0;10080;9010;3370
Zeist;7510;29160;11110;8660;6400
Zevenaar;1420;11520;6370;3720;9350
Zoetermeer;54320;55870;11040;3340;200
Zoeterwoude;0;900;90;5950;1430
Zuidhorn;0;0;0;6730;12130
Zuidplas;0;13500;12060;11480;4430
Zundert;0;0;1280;10490;9890
Zutphen;4330;17240;16310;6910;2550
Zwartewaterland;0;0;1480;17210;3620
Zwijndrecht;15330;19130;4240;5060;660
Zwolle;31470;50760;24050;14100;5170
© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 14-11-2018;;;;;
